Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,MSFT,TSLA,AAPL,MSFT,TSLA,AAPL,MSFT,TSLA,AAPL,MSFT,TSLA,AAPL,MSFT,TSLA
Date,,,,,,,,,,,,,,,
2018-01-02,40.34188461303711,79.05035400390625,21.368667602539062,40.3512542876815,79.3814555361966,21.474000930786133,39.63930910102925,78.63648059701545,20.733333587646484,39.85008389872191,79.21590477005142,20.799999237060547,102223600,22483800,65283000
2018-01-03,40.33486557006836,79.41828155517578,21.149999618530273,40.87819243452449,79.56544097743182,21.683332443237305,40.27163633682215,79.06878845273889,21.036666870117188,40.40512384715967,79.15156036504732,21.399999618530273,118071600,26061400,67822500
2018-01-04,40.522220611572266,80.11727142333984,20.974666595458984,40.62526561027816,80.62312314498602,21.23666763305664,40.299739040812426,79.62061891943647,20.3786678314209,40.40746530419806,79.63901033797488,20.857999801635742,89738400,21912000,149194500
2018-01-05,40.983577728271484,81.11056518554688,21.10533332824707,41.07022757766769,81.31290584615176,21.14933204650879,40.526904291139054,80.41157208989713,20.799999237060547,40.618238978565536,80.62311196696939,21.107999801635742,94640000,23407100,68868000
2018-01-08,40.83134078979492,81.1933364868164,22.42733383178711,41.12642116433384,81.4692568432421,22.468000411987305,40.73297709146542,80.56792309360482,21.03333282470703,40.83134078979492,81.11975678951006,21.066667556762695,82271200,22113000,147891000
2018-01-09,40.82666015625,81.13814544677734,22.246000289916992,40.997619183214475,81.60720718940996,22.586666107177734,40.61120411200408,80.80704386573612,21.82666778564453,40.8781826422092,81.5336275009685,22.3439998626709,86336000,19484300,107199000
2018-01-10,40.817298889160156,80.770263671875,22.31999969482422,40.81964309485793,81.11056450886657,22.46666717529297,40.515192953344034,80.39318000321322,22.0,40.55266450966543,80.80705352049134,22.14666748046875,95839600,18652200,64648500
2018-01-11,41.04915237426758,81.0093994140625,22.530000686645508,41.09833424132138,81.05538146509458,22.987333297729492,40.864142361699365,80.23682657708956,22.21733283996582,40.887559405570876,81.05538146509458,22.349332809448242,74670800,17808900,99682500
2018-01-12,41.47303009033203,82.40737915039062,22.4146671295166,41.53626288466178,82.57292997235957,22.694000244140625,41.1357932852183,81.3496937331972,22.244667053222656,41.25991466856103,81.55203440637554,22.575332641601562,101672400,24271500,72376500
2018-01-16,41.262271881103516,81.25772857666016,22.67066764831543,42.011685254549505,83.50186054648982,23.0,41.25056157127931,80.94502534385289,22.31999969482422,41.6627380333034,82.86724784621406,22.502666473388672,118263600,36599700,97114500
2018-01-17,41.94375991821289,82.90404510498047,23.143999099731445,41.97888726477312,83.03280609668973,23.266666412353516,40.99996709013325,81.62562738947577,22.649999618530273,41.25289113233468,81.92913844862522,22.697999954223633,137547200,25621200,106552500
2018-01-18,41.981224060058594,82.86724090576172,22.971332550048828,42.17794790326898,83.39148400040257,23.48666763305664,41.74469161004063,82.46256658054813,22.916000366210938,42.00698530300974,82.59132754997243,23.044666290283203,124773600,24159700,85287000
2018-01-19,41.793888092041016,82.77528381347656,23.334667205810547,42.05618187681274,83.33631685401261,23.37266731262207,41.547985882075125,82.46258055387167,22.84000015258789,41.82901544768551,82.90404480471948,23.0,129700400,36875000,73324500
2018-01-22,41.451969146728516,84.25601196289062,23.437332153320312,41.634638555394616,84.26521117808846,23.85533332824707,41.35829380968925,82.53612360204664,23.280000686645508,41.52222743625049,82.77525407857385,23.293333053588867,108434400,23601600,93156000
2018-01-23,41.46132278442383,84.5227279663086,23.519332885742188,42.023385358113266,84.89061936561886,24.03333282470703,41.409803865982504,84.19162640862383,23.399999618530273,41.5222149513268,84.5227279663086,24.0,130756400,23412800,81981000
2018-01-24,40.80091094970703,84.44914245605469,23.05933380126953,41.52222239244202,85.92990014882103,23.649999618530273,40.5620342237433,84.22841043847698,22.90133285522461,41.51051208336333,85.12054473973993,23.6386661529541,204420400,33277500,79312500
2018-01-25,40.072566986083984,84.91825103759766,22.50933265686035,40.97186281875041,85.75519753404303,23.280000686645508,39.93673528633479,84.55035946046804,22.426666259765625,40.86881783456247,85.04701203705079,23.218000411987305,166116000,26383200,101104500
2018-01-26,40.16624450683594,86.50936126708984,22.856666564941406,40.2809998043608,86.50936126708984,22.933332443237305,39.82666702550764,85.14817172434432,22.380666732788086,40.2809998043608,85.64482423868033,22.766666412353516,156572000,29172200,68091000
2018-01-29,39.33486557006836,86.38056945800781,23.302000045776367,39.850086936789836,87.78774757132064,23.389999389648438,39.126434961888506,86.19662726661267,22.552000045776367,39.850086936789836,87.50263506957472,22.656667709350586,202561600,31569900,71206500
